document_id,decision,first_submission_month,first_submitted_at,version_submitted_at,target_system,evaluation_domain,evaluation_setup,modality,material_origin,scoring_source,task_language
arxiv:2201.03533v2,included,2022-01,2022-01-10T18:47:15Z,2022-10-11T21:30:28Z,"[""answering_model""]","[""finance_and_business"", ""language_and_communication"", ""law_and_public_policy"", ""software_and_coding""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2201.05320v1,included,2022-01,2022-01-14T06:49:15Z,2022-01-14T06:49:15Z,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2201.05966v3,included,2022-01,2022-01-16T04:36:18Z,2022-10-18T15:56:01Z,"[""answering_model""]","[""general_or_cross_domain"", ""software_and_coding""]","[""fixed_items""]","[""code"", ""structured_data"", ""text""]","[""human_or_real_world""]","[""execution_or_environment"", ""reference_or_metric""]","[""en""]"
arxiv:2201.12901v1,included,2022-01,2022-01-30T19:56:37Z,2022-01-30T19:56:37Z,"[""answering_model""]","[""mathematics_and_formal_reasoning"", ""natural_sciences"", ""software_and_coding""]","[""fixed_items""]","[""code"", ""text""]","[""human_or_real_world""]","[""execution_or_environment""]","[""en""]"
arxiv:2202.01142v1,included,2022-02,2022-02-02T17:09:15Z,2022-02-02T17:09:15Z,"[""answering_model""]","[""cybersecurity"", ""engineering"", ""software_and_coding""]","[""runtime_generated_items""]","[""code"", ""text""]","[""human_or_real_world"", ""program_or_simulation""]","[""reference_or_metric""]","[""en""]"
arxiv:2202.03286v1,included,2022-02,2022-02-07T15:22:17Z,2022-02-07T15:22:17Z,"[""answering_model""]","[""general_or_cross_domain""]","[""interactive_loop"", ""runtime_generated_items""]","[""text""]","[""generative_model"", ""human_or_real_world""]","[""other_model_judge"", ""reference_or_metric""]","[""en""]"
arxiv:2202.07362v1,included,2022-02,2022-02-15T12:42:55Z,2022-02-15T12:42:55Z,"[""answering_model""]","[""general_or_cross_domain"", ""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world"", ""program_or_simulation""]","[""reference_or_metric""]","[""de"", ""en""]"
arxiv:2202.09583v1,included,2022-02,2022-02-19T11:55:40Z,2022-02-19T11:55:40Z,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""cs"", ""de"", ""en"", ""fr""]"
arxiv:2203.03759v2,included,2022-03,2022-03-07T22:39:01Z,2024-05-20T13:19:08Z,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""generative_model"", ""human_or_real_world""]","[""other_model_judge"", ""reference_or_metric""]","[""it""]"
arxiv:2203.05437v2,included,2022-03,2022-03-10T15:53:58Z,2022-10-27T02:33:39Z,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""structured_data"", ""text""]","[""generative_model"", ""human_or_real_world""]","[""reference_or_metric""]","[""as"", ""bn"", ""gu"", ""hi"", ""kn"", ""ml"", ""mr"", ""or"", ""pa"", ""ta"", ""te""]"
arxiv:2203.05797v2,included,2022-03,2022-03-11T08:41:14Z,2022-03-14T12:01:20Z,"[""answering_model""]","[""language_and_communication""]","[""fixed_items"", ""interactive_loop""]","[""text""]","[""human_or_real_world""]","[""human_judge"", ""reference_or_metric""]","[""zh""]"
arxiv:2203.08388v2,included,2022-03,2022-03-16T04:21:50Z,2023-02-07T03:12:50Z,"[""answering_model""]","[""language_and_communication"", ""software_and_coding""]","[""fixed_items""]","[""code"", ""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""es"", ""ja"", ""ru""]"
arxiv:2203.08452v1,included,2022-03,2022-03-16T07:57:34Z,2022-03-16T07:57:34Z,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""generative_model"", ""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2203.10133v2,included,2022-03,2022-03-18T19:18:54Z,2022-03-29T00:08:38Z,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2203.12788v1,included,2022-03,2022-03-24T01:09:46Z,2022-03-24T01:09:46Z,"[""answering_model""]","[""language_and_communication""]","[""runtime_generated_items""]","[""text""]","[""generative_model"", ""program_or_simulation""]","[""reference_or_metric""]","[""en""]"
arxiv:2203.13474v5,included,2022-03,2022-03-25T06:55:15Z,2023-02-27T21:26:48Z,"[""answering_model""]","[""software_and_coding""]","[""fixed_items""]","[""code"", ""text""]","[""human_or_real_world""]","[""execution_or_environment""]","[""en""]"
arxiv:2204.03021v1,included,2022-04,2022-04-06T18:10:53Z,2022-04-06T18:10:53Z,"[""answering_model""]","[""language_and_communication"", ""social_sciences_and_humanities""]","[""fixed_items""]","[""text""]","[""generative_model"", ""human_or_real_world""]","[""human_judge"", ""reference_or_metric""]","[""en""]"
arxiv:2204.03905v2,included,2022-04,2022-04-08T08:07:42Z,2022-04-22T07:47:42Z,"[""answering_model""]","[""healthcare_biomedicine"", ""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""other_model_judge"", ""reference_or_metric""]","[""en""]"
arxiv:2204.04541v1,included,2022-04,2022-04-09T20:13:51Z,2022-04-09T20:13:51Z,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""ko""]"
arxiv:2204.05185v3,included,2022-04,2022-04-11T15:19:47Z,2023-10-19T21:40:18Z,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2204.07705v3,included,2022-04,2022-04-16T03:12:30Z,2022-10-24T07:00:15Z,"[""answering_model""]","[""general_or_cross_domain"", ""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""ar"", ""as"", ""bg"", ""bn"", ""ca"", ""cs"", ""de"", ""en"", ""es"", ""et"", ""fa"", ""fi"", ""fil"", ""fr"", ""gl"", ""gu"", ""he"", ""hi"", ""hr"", ""ht"", ""id"", ""ig"", ""it"", ""ja"", ""km"", ""kn"", ""ko"", ""ku"", ""lo"", ""ml"", ""mr"", ""ms"", ""my"", ""nl"", ""or"", ""pa"", ""pl"", ""pt"", ""ro"", ""ru"", ""si"", ""so"", ""sv"", ""sw"", ""ta"", ""te"", ""th"", ""tl"", ""tr"", ""ur"", ""vi"", ""xh"", ""yo"", ""za"", ""zh""]"
arxiv:2204.10509v1,included,2022-04,2022-04-22T05:32:08Z,2022-04-22T05:32:08Z,"[""answering_model""]","[""language_and_communication""]","[""fixed_items"", ""interactive_loop""]","[""text""]","[""human_or_real_world""]","[""human_judge"", ""reference_or_metric""]","[""zh""]"
arxiv:2204.10878v1,included,2022-04,2022-04-22T18:20:23Z,2022-04-22T18:20:23Z,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2204.12632v2,included,2022-04,2022-04-26T23:42:22Z,2022-05-15T19:27:33Z,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2204.13778v2,included,2022-04,2022-04-28T21:00:54Z,2022-10-20T11:15:10Z,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""other_model_judge"", ""reference_or_metric""]","[""en""]"
arxiv:2204.14211v3,included,2022-04,2022-04-29T16:40:07Z,2023-04-12T12:16:59Z,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""text""]","[""human_or_real_world"", ""program_or_simulation""]","[""reference_or_metric""]","[""en""]"
arxiv:2205.00395v2,included,2022-05,2022-05-01T04:29:50Z,2023-07-03T17:42:36Z,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""human_judge"", ""reference_or_metric""]","[""en""]"
arxiv:2205.02832v1,included,2022-05,2022-05-05T17:59:31Z,2022-05-05T17:59:31Z,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2205.03472v1,included,2022-05,2022-05-06T20:49:27Z,2022-05-06T20:49:27Z,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2205.03534v1,included,2022-05,2022-05-07T03:33:00Z,2022-05-07T03:33:00Z,"[""answering_model""]","[""finance_and_business"", ""language_and_communication""]","[""fixed_items""]","[""structured_data"", ""text"", ""video""]","[""human_or_real_world""]","[""human_judge"", ""reference_or_metric""]","[""en"", ""zh""]"
arxiv:2205.04652v1,included,2022-05,2022-05-10T03:42:30Z,2022-05-10T03:42:30Z,"[""answering_model""]","[""healthcare_biomedicine"", ""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""other_model_judge"", ""reference_or_metric""]","[""en""]"
arxiv:2205.05718v1,included,2022-05,2022-05-11T18:14:33Z,2022-05-11T18:14:33Z,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""text""]","[""human_or_real_world"", ""program_or_simulation""]","[""execution_or_environment"", ""human_judge""]","[""en""]"
arxiv:2205.06303v1,included,2022-05,2022-05-12T18:36:33Z,2022-05-12T18:36:33Z,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2205.07065v1,included,2022-05,2022-05-14T13:37:50Z,2022-05-14T13:37:50Z,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2205.08808v1,included,2022-05,2022-05-18T09:17:14Z,2022-05-18T09:17:14Z,"[""answering_model""]","[""general_or_cross_domain"", ""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en"", ""pl""]"
arxiv:2205.09830v1,included,2022-05,2022-05-19T20:05:02Z,2022-05-19T20:05:02Z,"[""answering_model""]","[""social_sciences_and_humanities""]","[""fixed_items""]","[""text""]","[""human_or_real_world"", ""program_or_simulation""]","[""human_judge"", ""reference_or_metric""]","[""en""]"
arxiv:2205.10442v1,included,2022-05,2022-05-20T21:16:44Z,2022-05-20T21:16:44Z,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2205.10782v1,included,2022-05,2022-05-22T09:22:37Z,2022-05-22T09:22:37Z,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world"", ""program_or_simulation""]","[""other_model_judge"", ""reference_or_metric""]","[""de"", ""en"", ""es"", ""fr""]"
