document_id,first_submission_month,title,decision,target_system,evaluation_domain,evaluation_setup,modality,material_origin,scoring_source,task_language
arxiv:2201.03533v2,2022-01,SCROLLS: Standardized CompaRison Over Long Language Sequences,included,"[""answering_model""]","[""language_and_communication"", ""law_and_public_policy"", ""software_and_coding"", ""finance_and_business""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2201.04275v3,2022-01,PhysNLU: A Language Resource for Evaluating Natural Language Understanding and Explanation Coherence in Physics,excluded,null,null,null,null,null,null,null
arxiv:2201.05320v1,2022-01,CommonsenseQA 2.0: Exposing the Limits of AI through Gamification,included,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2201.05966v3,2022-01,UnifiedSKG: Unifying and Multi-Tasking Structured Knowledge Grounding with Text-to-Text Language Models,included,"[""answering_model""]","[""general_or_cross_domain"", ""software_and_coding""]","[""fixed_items""]","[""text"", ""code"", ""structured_data""]","[""human_or_real_world""]","[""reference_or_metric"", ""execution_or_environment""]","[""en""]"
arxiv:2201.06796v2,2022-01,CoAuthor: Designing a Human-AI Collaborative Writing Dataset for Exploring Language Model Capabilities,semantic_unresolved,null,null,null,null,null,null,null
arxiv:2201.07902v1,2022-01,Evaluating Machine Common Sense via Cloze Testing,excluded,null,null,null,null,null,null,null
arxiv:2201.12901v1,2022-01,Training and Evaluating a Jupyter Notebook Data Science Assistant,included,"[""answering_model""]","[""software_and_coding"", ""mathematics_and_formal_reasoning"", ""natural_sciences""]","[""fixed_items""]","[""text"", ""code""]","[""human_or_real_world""]","[""execution_or_environment""]","[""en""]"
arxiv:2202.01142v1,2022-02,Pop Quiz! Can a Large Language Model Help With Reverse Engineering?,included,"[""answering_model""]","[""cybersecurity"", ""software_and_coding"", ""engineering""]","[""runtime_generated_items""]","[""text"", ""code""]","[""program_or_simulation"", ""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2202.02398v1,2022-02,Pir\'a: A Bilingual Portuguese-English Dataset for Question-Answering about the Ocean,excluded,null,null,null,null,null,null,null
arxiv:2202.03286v1,2022-02,Red Teaming Language Models with Language Models,included,"[""answering_model""]","[""general_or_cross_domain""]","[""runtime_generated_items"", ""interactive_loop""]","[""text""]","[""generative_model"", ""human_or_real_world""]","[""other_model_judge"", ""reference_or_metric""]","[""en""]"
