window,year,group,field,label,n,valid_n,missing_n,included_n,share,sentinel_present_n,known_n,known_positive_n,known_share,sparse
observed,all,all,scoring_source,execution_or_environment,3362,14764,3,14767,0.22771606610674613,17,14747,3362,0.22797857191293144,False
observed,all,all,scoring_source,human_judge,1050,14764,3,14767,0.07111893795719318,17,14747,1050,0.07120092222146877,False
observed,all,all,scoring_source,llm_judge,5123,14764,3,14767,0.3469926849092387,17,14747,5123,0.3473926900386519,False
observed,all,all,scoring_source,other_model_judge,1318,14764,3,14767,0.08927120021674342,17,14747,1318,0.08937410998847223,False
observed,all,all,scoring_source,reference_or_metric,9717,14764,3,14767,0.6581549715524249,17,14747,9717,0.6589136773581067,False
observed,all,all,scoring_source,unclear,17,14764,3,14767,0.0011514494716878894,17,14747,0,0.0,False
observed,all,agent,scoring_source,execution_or_environment,1573,2752,0,2752,0.5715843023255814,2,2750,1573,0.572,False
observed,all,agent,scoring_source,human_judge,136,2752,0,2752,0.04941860465116279,2,2750,136,0.04945454545454545,False
observed,all,agent,scoring_source,llm_judge,1095,2752,0,2752,0.39789244186046513,2,2750,1095,0.3981818181818182,False
observed,all,agent,scoring_source,other_model_judge,106,2752,0,2752,0.038517441860465115,2,2750,106,0.03854545454545454,False
observed,all,agent,scoring_source,reference_or_metric,1127,2752,0,2752,0.4095203488372093,2,2750,1127,0.4098181818181818,False
observed,all,agent,scoring_source,unclear,2,2752,0,2752,0.0007267441860465116,2,2750,0,0.0,False
observed,all,non_agent,scoring_source,execution_or_environment,1789,12012,3,12015,0.14893439893439894,15,11997,1789,0.14912061348670502,False
observed,all,non_agent,scoring_source,human_judge,914,12012,3,12015,0.0760905760905761,15,11997,914,0.0761857130949404,False
observed,all,non_agent,scoring_source,llm_judge,4028,12012,3,12015,0.33533133533133536,15,11997,4028,0.3357506043177461,False
observed,all,non_agent,scoring_source,other_model_judge,1212,12012,3,12015,0.1008991008991009,15,11997,1212,0.10102525631407852,False
observed,all,non_agent,scoring_source,reference_or_metric,8590,12012,3,12015,0.7151182151182152,15,11997,8590,0.7160123364174377,False
observed,all,non_agent,scoring_source,unclear,15,12012,3,12015,0.0012487512487512488,15,11997,0,0.0,False
observed,all,domain:cybersecurity,scoring_source,execution_or_environment,315,740,0,740,0.42567567567567566,4,736,315,0.4279891304347826,False
observed,all,domain:cybersecurity,scoring_source,human_judge,49,740,0,740,0.06621621621621622,4,736,49,0.06657608695652174,False
observed,all,domain:cybersecurity,scoring_source,llm_judge,293,740,0,740,0.39594594594594595,4,736,293,0.39809782608695654,False
